id,title,genres,averageRating,numVotes,releaseYear
tt0369226,"Alone in the Dark","Action, Horror, Sci-Fi",2.4,47460,2005
tt0118589,Glitter,"Drama, Music, Romance",2.4,24213,2001
tt6910020,"Nothing to Lose","Biography, Drama",2.4,23146,2018
tt0185183,"Battlefield Earth","Action, Adventure, Sci-Fi",2.5,83995,2000
tt1098327,"Dragonball Evolution","Action, Adventure, Fantasy",2.5,80434,2009
tt10350922,Laxmii,"Action, Comedy, Horror",2.5,59075,2020
tt1725047,"My Little Princess","Drama, Family, Romance",2.5,43598,2010
tt11762434,"Cosmic Sin","Action, Sci-Fi",2.5,15407,2021
tt14121726,"Jeepers Creepers: Reborn","Horror, Mystery, Thriller",2.5,15391,2022
tt1350498,"Mega Shark vs. Giant Octopus","Action, Adventure, Comedy",2.5,11372,2009
tt0123366,"The View",Talk-Show,2.5,10518,1997
tt10885444,"Khaali Peeli","Action, Comedy, Romance",2.5,10134,2020
tt0299930,Gigli,"Comedy, Crime, Romance",2.6,51219,2003
tt4435072,Liger,"Action, Drama, Romance",2.6,47960,2022
tt0329200,"Home Alone 4: Taking Back the House","Comedy, Crime, Family",2.6,40193,2002
tt15334030,Martin,"Action, Drama, Thriller",2.6,37017,2024
tt0118665,"Baby Geniuses","Comedy, Crime, Family",2.6,27872,1999
tt5013984,Gully,"Crime, Drama",2.6,23081,2019
tt0116839,"Lawnmower Man 2: Beyond Cyberspace","Action, Sci-Fi, Thriller",2.6,10452,1995
tt12915716,Adipurush,"Action, Adventure, Drama",2.7,134631,2023
tt2574698,Gunday,"Action, Drama, Musical",2.7,60549,2014
tt12996154,"365 Days: This Day","Drama, Romance",2.7,25397,2022
tt1883367,"The Human Centipede III (Final Sequence)","Comedy, Horror",2.7,20614,2015
tt0058548,"Santa Claus Conquers the Martians","Adventure, Comedy, Family",2.7,12781,1964
tt1127884,"Hannah Montana and Miley Cyrus: Best of Both Worlds Concert","Documentary, Music",2.7,12209,2008
tt0896036,"BloodRayne: Deliverance","Action, Fantasy, Western",2.7,11704,2007
tt13334578,Ganapath,"Action, Drama, Sci-Fi",2.7,10410,2023
tt1716747,"Hellraiser: Revelations",Horror,2.7,10235,2011
tt1073498,"Meet the Spartans","Comedy, Fantasy",2.8,112493,2008
tt0466342,"Date Movie","Comedy, Romance",2.8,62724,2006
tt5697572,Cats,"Comedy, Drama, Family",2.8,56826,2019
tt9096108,Rasbhari,"Drama, Romance",2.8,15791,2019
tt1572311,"Tees Maar Khan","Comedy, Crime",2.8,14731,2010
tt4867110,Swiped,"Comedy, Romance",2.8,12872,2018
tt0110169,"It's Pat: The Movie",Comedy,2.8,10581,1994
tt1788979,"67th Street, New York, NY","Crime, Thriller",2.9,34925,2011
tt19623240,"Winnie-the-Pooh: Blood and Honey",Horror,2.9,32015,2023
tt1086761,"Keeping Up with the Kardashians","Family, Reality-TV",2.9,31736,2007
tt9820556,Breach,"Action, Horror, Sci-Fi",2.9,20266,2020
tt21106646,"The Next 365 Days","Drama, Romance",2.9,10803,2022
tt9624766,"Jiu Jitsu","Action, Sci-Fi, Thriller",2.9,10712,2020
tt0101615,"Cool as Ice","Comedy, Drama, Music",2.9,10578,1991
tt0093300,"Jaws: The Revenge","Adventure, Horror, Thriller",3,50772,1987
tt0383222,BloodRayne,"Action, Fantasy, Horror",3,37589,2005
tt0105643,"Troll 2","Comedy, Fantasy, Horror",3,35377,1990
tt7059844,"Dabangg 3","Action, Comedy, Crime",3,20612,2019
tt0120207,Steel,"Action, Adventure, Crime",3,15304,1997
tt0118539,"3 Ninjas: High Noon at Mega Mountain","Action, Adventure, Comedy",3,12560,1998
tt0353324,"The Crow: Wicked Prayer","Action, Adventure, Comedy",3,10090,2005
tt0299981,"Highlander: The Source","Action, Adventure, Drama",3,10039,2007
tt2467046,"Left Behind","Action, Fantasy, Sci-Fi",3.1,43164,2014
tt0246894,Rollerball,"Action, Sci-Fi, Sport",3.1,30027,2002
tt0116756,Kazaam,"Comedy, Family, Fantasy",3.1,25998,1996
tt0804452,Bratz,"Comedy, Family, Music",3.1,25116,2007
tt11656172,"Hard Kill","Action, Thriller",3.1,19627,2020
tt2610768,"Celal and Ceren","Comedy, Romance",3.2,44028,2013
tt2403029,"The Starving Games","Adventure, Comedy, Sci-Fi",3.2,22941,2013
tt0462244,"Daddy Day Camp","Comedy, Family",3.2,18168,2007
tt0103923,"Captain America","Action, Adventure, Sci-Fi",3.2,15403,1990
tt0400426,"Far Cry","Action, Adventure, Sci-Fi",3.2,15171,2008
tt0499487,"Goal! III","Drama, Romance, Sport",3.2,13234,2009
tt0110647,"The NeverEnding Story III","Adventure, Comedy, Family",3.2,12654,1994
tt15281656,"The Holy Trinity",Horror,3.2,12289,2023
tt1619880,Sharktopus,"Action, Adventure, Comedy",3.2,12135,2010
tt6616074,"Amy Schumer: The Leather Special",Comedy,3.2,10680,2017
tt10886166,"365 Days","Drama, Romance",3.3,101373,2020
tt0810913,"Jack and Jill",Comedy,3.3,91888,2011
tt2724064,Sharknado,"Action, Adventure, Comedy",3.3,53883,2013
